Station,Month,Monthly_Avg_C,Monthly_Min_C,Monthly_Max_C
26,10,7219.82307835,5305.2051594,9297.140696999999
26,11,11417.288647293335,7175.153688599999,17948.1546789
26,12,16435.500074714288,13311.9711777,22947.5154653
27,1,17236.780320816662,14158.070922599998,23182.2453585
27,2,17560.09257716333,13978.632420999998,23179.269292499997
27,3,19793.131692356666,14768.909264000002,27741.1753456
27,4,16400.24561668,14176.750584399999,18178.154400000003
27,5,12663.965949999996,10089.1967946,16329.576234
27,6,8188.906218779999,5938.348403399999,9836.0402526
27,7,5579.422075876666,5082.9845723,5883.860606
27,8,5736.580439719666,4800.04714959,6668.179815199999
27,9,4750.902746974668,4421.66316296,5598.059321000001
27,10,7219.82307835,5305.2051594,9297.140696999999
27,11,11417.288647293335,7175.153688599999,17948.1546789
27,12,16435.500074714288,13311.9711777,22947.5154653
28,1,288.99554880133326,189.40210912,406.68061221
28,2,252.58430069456668,161.66070792,433.63922723
28,3,233.92924419939996,155.100371594,367.7498840399999
28,4,174.27313263156665,125.45000191199999,236.90902723400004
28,5,133.7878252961,112.271519298,166.04347522999998
28,6,103.90565195273332,93.53579521500001,122.17847820799999
28,7,106.03565611979,93.328751809,113.526156445
28,8,98.65237628793332,94.00989694300002,104.7639704916
28,9,107.50410715871332,99.08157005519999,127.00854546600002
28,10,129.30477887611,98.5172507475,207.40114696
28,11,176.73467345789996,103.03191024300001,303.568884824
28,12,1489.0093541862857,127.582548,6415.8362169
29,1,891.5177216553334,726.69975816,1088.6560776000001
29,2,855.5927249476666,504.80420652000004,1418.89994588
29,3,677.7491948286668,465.48075168,1045.4677091100002
29,4,506.7886370953334,394.18924272,673.57588658
29,5,698.7343960484999,641.4361114,800.63452686
29,6,887.9990704222333,692.4631923599999,949.837650099
29,7,864.1309991983334,821.229759696,918.8741151520002
29,8,860.7489521012667,809.4334122370001,916.357556112
29,9,910.6753507160998,857.732010423,1042.47779518
29,10,1108.3806779508998,907.0988794999998,1559.2110268000001
29,11,1161.2434675840002,745.02278127,1872.2001053999998
29,12,5524.55616936,373.210686,34796.808624000005
30,1,545.4969453446668,354.17576838,769.42986544
30,2,479.7188954104334,307.386068848,823.84397685
30,3,445.89549118139996,295.757552488,702.7916895999998
30,4,331.8705933199333,239.51253808400003,452.02126809899994
30,5,255.34708998983336,214.56435492999998,316.52295935
30,6,198.53925971303335,178.73422775,233.243628576
30,7,202.6423752340667,178.36081566800001,216.783382842
30,8,188.5182343038667,179.7051399,199.98994747
30,9,205.05328787033335,189.39449479499999,241.019990391
30,10,244.89449213549997,187.982634359,386.405913897
30,11,332.4578350036,194.179512636,577.325429067
30,12,2801.1054196351715,238.5443988,12075.245594900001
31,1,51.34793499653333,35.997916593,70.794916234
31,2,52.95396670175667,38.914836343599994,78.938885574
31,3,58.449240289956656,41.23526792,92.081883537
31,4,52.26232207053334,40.313095666799995,66.06393876319999
31,5,37.478390494813326,30.9405440007,47.33411039280001
31,6,31.294777600166665,24.568860145800002,39.2330459184
31,7,21.014663730090003,18.332174819099997,24.4846977255
31,8,17.991281527246667,16.334190892,19.8820026
31,9,19.659322700966666,17.193067065999998,24.218690056
31,10,40.59628823196667,23.697617536,72.245100321
31,11,63.09045512263334,32.318898276,102.14335911999999
31,12,38.78238580170286,22.416690667,78.89042872
32,1,809.2744648370333,562.5894687900001,1119.019728564
32,2,792.4435051257666,579.394487106,1180.4672285
32,3,921.1877253043333,653.27767184,1449.01435
32,4,779.852757801,591.9026136,995.35613046
32,5,469.9268822018,384.575920736,598.99323204
32,6,339.7790218676333,264.47339809799996,424.669555275
32,7,221.4583540004,192.624055344,259.14827718
32,8,176.115782772,155.62528233,196.248504042
32,9,184.96732399829997,162.031075386,233.63443289999998
32,10,403.4243333678333,220.883799708,690.9757267049999
32,11,784.6722954270333,391.477945278,1321.595631504
32,12,678.1205292297715,413.246527012,1033.374791482
33,1,670.5937642458666,496.22330644000004,891.86986251
33,2,538.8541785108333,343.11337235499997,915.029879357
33,3,482.6364368982,324.18407038600003,750.6558808000001
33,4,369.95134343833337,269.945325,496.53837856
33,5,291.07426810199996,247.13911692000002,359.03285082
33,6,232.18231551000002,210.6747504,272.93626554
33,7,240.9206035587667,210.16245944,258.00674172
33,8,225.00409401480002,213.86549065,243.01921056
33,9,256.017438026,229.9806847,314.6590724
33,10,328.2777967186667,240.65437688000003,523.042728
33,11,459.17783207533336,281.48478535,779.21104806
33,12,3633.8225737999996,327.00000736,14954.657945
34,1,197.66530550909997,160.9546844,242.25427325200002
34,2,189.5744158549,111.83537878599999,314.776837451
34,3,150.24461824876667,103.091316744,231.707339238
34,4,112.18828248089999,87.092413848,149.062413504
34,5,153.83457841836668,141.596133653,176.776865397
34,6,194.3478604359,151.77592019099998,208.45161199799998
34,7,191.14441608323332,181.95277226000002,202.722663988
34,8,190.7587783349333,179.456240548,203.06530560400003
34,9,201.82835287659998,190.034307817,231.10618988
34,10,245.64769256799994,200.95932945,345.55497375
34,11,257.4681896343333,165.17507164999998,416.68106256000004
34,12,1225.6533570442855,82.4778748,7745.4156545999995
35,1,231.68606828053333,188.359604028,285.33871168
35,2,222.05869205656666,130.99251438000002,369.30532612
35,3,176.1308808898667,120.706745858,271.64398272
35,4,131.27457186233332,101.538626012,174.54538730700003
35,5,178.6598233897333,165.16643041199998,206.24056079999997
35,6,223.6987929723667,175.24232465400002,240.88980075599997
35,7,223.0407795657,213.449585457,236.55941425499998
35,8,223.6925894980667,210.259343482,238.08837893199998
35,9,236.6866328682,222.98150742,270.92463955
35,10,288.0659595637666,235.74924912,405.29104336
35,11,301.98183858000004,193.62316493,490.84949615
35,12,1438.1868680794285,96.37133532,9101.825999
36,1,1285.9075722710002,856.4221481000001,1831.0922288
36,2,1299.1045854926665,923.2798271999999,1975.4996944000002
36,3,1608.9218237366667,1101.4115976,2642.6044469999997
36,4,1316.3193496850001,953.27961735,1738.3906043999998
36,5,763.211008876,604.33200945,1004.1951112400002
36,6,568.1493257523332,435.12863187,725.3006898799999
36,7,371.56246272873324,321.626989866,435.66502287
36,8,286.14302804616665,252.994793909,317.254625664
36,9,300.88482320463334,265.84501420099997,386.443518966
36,10,630.2779570057999,359.66571928099995,1124.565015274
36,11,1255.8589628764337,559.12841696,2298.4414911
36,12,979.6171477945715,548.05195991,1747.80655417
37,1,3949.5506265733343,2747.7768539,5461.8260202500005
37,2,3867.6314118476666,2827.753979,5761.6050432
37,3,4495.29474754,3188.3515818,7073.8482754
37,4,3805.3640794799994,2890.6044832,4856.578283999999
37,5,2296.2896873733334,1881.2746249200002,2925.3959822
37,6,1662.141984122433,1295.215245324,2077.04045076
37,7,1084.7919320573335,943.975289694,1269.169560354
37,8,863.9990693600333,764.254809392,963.0498173860001
37,9,908.5972951843665,796.024470104,1146.8954071169999
